,,,,,,,2020-5-1,1095,太原
5,5,5,5,5,,5,2020-5-1,1095,榆次
5,5,5,5,5,,5,2020-5-1,1095,太谷
5,5,5,5,5,,5,2020-5-1,1095,祁县
5,5,5,5,5,,5,2020-5-1,1095,平遥
5,5,5,5,5,,5,2020-5-1,1095,介休
5,5,5,5,5,,5,2020-5-1,1095,灵石
5,5,5,5,5,,5,2020-5-1,1095,霍州
5,5,5,5,5,,5,2020-5-1,1095,洪洞
5,5,5,5,5,,5,2020-5-1,1095,临汾
5,5,5,5,5,,5,2020-5-2,1095,侯马
5,5,5,5,5,,5,2020-5-2,1095,稷山
5,5,5,5,5,,5,2020-5-2,1095,河津
5,5,5,5,5,,5,2020-5-2,1095,韩城
5,5,5,5,5,,5,2020-5-2,1095,合阳北
5,5,5,5,5,,5,2020-5-2,1095,西安
,,,,,,,2020-5-2,1095,武功
5,5,5,5,5,,5,2020-5-2,1095,宝鸡
5,5,5,5,5,,5,2020-5-2,1095,天水
,,,,,,,2020-5-2,1095,甘谷
5,5,5,5,5,,5,2020-5-2,1095,陇西
5,5,5,5,5,,5,2020-5-2,1095,定西
5,5,5,5,5,,5,2020-5-2,1095,兰州
5,5,5,5,5,,5,2020-5-2,1095,兰州西
,,,,,,,2020-5-1,1096,兰州西
5,5,5,5,5,,5,2020-5-1,1096,兰州
5,5,5,5,5,,5,2020-5-1,1096,定西
5,5,5,5,5,,5,2020-5-1,1096,陇西
5,5,5,5,5,,5,2020-5-1,1096,甘谷
5,5,5,5,5,,5,2020-5-1,1096,天水
5,5,5,5,5,,5,2020-5-1,1096,宝鸡
5,5,5,5,5,,5,2020-5-2,1096,咸阳
5,5,5,5,5,,5,2020-5-2,1096,西安
5,5,5,5,5,,5,2020-5-2,1096,合阳北
5,5,5,5,5,,5,2020-5-2,1096,韩城
5,5,5,5,5,,5,2020-5-2,1096,河津
5,5,5,5,5,,5,2020-5-2,1096,稷山
5,5,5,5,5,,5,2020-5-2,1096,新绛
5,5,5,5,5,,5,2020-5-2,1096,侯马
5,5,5,5,5,,5,2020-5-2,1096,襄汾
5,5,5,5,5,,5,2020-5-2,1096,临汾
5,5,5,5,5,,5,2020-5-2,1096,霍州
5,5,5,5,5,,5,2020-5-2,1096,灵石
5,5,5,5,5,,5,2020-5-2,1096,介休
,,,,,,,2020-5-2,1096,平遥
5,5,5,5,5,,5,2020-5-2,1096,祁县
